0.005,558.9
0.01,535.1
0.015,537.0
0.02,536.2
0.025,537.2
0.03,535.9
0.035,535.6
0.04,535.4
0.045,536.0
0.05,535.0
0.055,353.2
0.06,351.7
0.065,350.8
0.07,351.0
0.075,348.6
0.08,349.6
0.085,352.2
0.09,351.5
0.095,351.3
0.1,351.0
0.105,280.8
0.11,269.4
0.115,269.3
0.12,262.6
0.125,261.3
0.13,253.3
0.135,253.4
0.14,253.6
0.145,253.2
0.15,253.5
0.155,251.2
0.16,242.3
0.165,238.0
0.17,223.9
0.175,225.4
0.18,254.2
0.185,253.4
0.19,253.6
0.195,254.6
0.2,254.0
0.205,250.3
0.21,231.8
0.215,228.0
0.22,221.9
0.225,225.2
0.23,251.7
0.235,252.7
0.24,251.8
0.245,253.9
0.25,252.4
0.255,243.9
0.26,232.3
0.265,229.3
0.27,224.1
0.275,223.9
0.28,252.3
0.285,254.0
0.29,252.6
0.295,253.6
0.3,263.2
0.305,259.5
0.31,233.8
0.315,227.6
0.32,221.8
0.325,221.8
0.33,252.3
0.335,251.8
0.34,252.3
0.345,252.2
0.35,252.7
0.355,251.4
0.36,236.6
0.365,233.9
0.37,221.8
0.375,225.7
0.38,253.6
0.385,254.1
0.39,253.4
0.395,252.8
0.4,252.7
0.405,242.2
0.41,233.9
0.415,228.8
0.42,223.0
0.425,226.3
0.43,253.3
0.435,252.9
0.44,253.5
0.445,253.1
0.45,253.1
0.455,240.6
0.46,234.0
0.465,227.9
0.47,222.2
0.475,222.7
0.48,253.0
0.485,252.6
0.49,253.4
0.495,254.0
0.5,253.6
0.505,248.1
0.51,233.6
0.515,229.0
0.52,222.3
0.525,223.0
0.53,253.2
0.535,252.5
0.54,251.9
0.545,252.6
0.55,252.3
